,Evenement,ETP Gaussian,CS20 P Mean,CS20 P Rapid,CS20 P Karst,CS672 P Mean,CS672 P Rapid,CS672 P Karst,CS2688 P Mean,CS2688 P Rapid,CS2688 P Karst,CS8064 P Mean,CS8064 P Rapid,CS8064 P Karst,P Mean,P Rapid,P Karst,Toulon,Cap Cepet,Cas. SAPC,Castellet,Ste Baume,Meounes,Cuers,H LasLagoubran,Q Lagoubran,T Lagoubran,H Ragas,T Ragas,C Ragas,H StAntoine,Q StAntoine,T StAntoine,C StAntoine,Rapid Model,Karst Model
2014-11-11 23:15:00,32,3.960920101621465e-07,0.5142857142857143,0.0666666666666666,0.8500000000000001,58.27142857142857,32.1,77.9,64.69047619047619,36.644444444444446,85.72500000000001,239.7761904761905,227.84444444444443,248.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,6.217414593984902,14.71,126.312,13.87,479.0,0.4039999999999999,0.8013704463583082,15.59,537.0,0.7355020046234131,0.8998688220119047
2014-11-11 23:30:00,32,3.957478866473844e-07,0.4285714285714286,0.0666666666666666,0.7000000000000001,58.27142857142857,32.1,77.9,64.69047619047619,36.644444444444446,85.72500000000001,239.7761904761905,227.8444444444445,248.72500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,6.254842905287499,14.71,126.332,13.87,479.0,0.405,0.8045533164086179,15.59,537.0,0.7373699843883514,0.89984472166926
2014-11-11 23:45:00,32,3.95404035291016e-07,0.4285714285714286,0.0666666666666666,0.7000000000000001,58.27142857142857,32.1,77.9,64.69047619047619,36.644444444444446,85.72500000000001,239.7761904761905,227.8444444444445,248.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901,6.367568538585703,14.69,126.342,13.87,479.0,0.405,0.8045533164086179,15.59,537.0,0.7411766648292542,0.9044031449374724
2014-11-12 00:00:00,32,3.95060455903189e-07,0.4142857142857143,0.0333333333333333,0.7000000000000001,58.271428571428565,32.1,77.9,64.69047619047618,36.644444444444446,85.72500000000001,239.7761904761905,227.84444444444443,248.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,6.5378785447,14.67,126.373,13.87,479.0,0.41,0.8205433721706553,15.59,537.0,0.746047854423523,0.911938324575805
2014-11-12 00:15:00,32,3.947171482941631e-07,0.4,0.0,0.7000000000000001,58.27142857142857,32.10000000000001,77.9,64.69047619047619,36.64444444444445,85.72500000000001,239.7761904761905,227.84444444444443,248.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,6.405289400793903,14.67,126.372,13.87,479.0,0.411,0.8237564934103618,15.58,536.0,0.7383706271648407,0.9059802611666355
2014-11-12 00:30:00,32,3.943741122743051e-07,0.1714285714285714,0.0,0.3,58.27142857142857,32.1,77.9,64.69047619047619,36.644444444444446,85.72500000000001,239.77619047619044,227.8444444444445,248.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,6.3487353,14.66,126.375,13.88,480.0,0.411,0.8237564934103618,15.57,536.0,0.7385822534561157,0.9010873455295134
2014-11-12 00:45:00,32,3.940313476540935e-07,0.1,0.1666666666666666,0.05,58.34285714285715,32.26666666666667,77.9,64.76190476190476,36.81111111111112,85.72500000000001,239.84761904761905,228.01111111111112,248.725,0.0714285714285714,0.1666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.915,6.633117688237505,14.64,126.365,13.88,481.0,0.414,0.8334259979249123,15.57,535.0,0.7512547969818115,0.9178743627473612
2014-11-12 01:00:00,32,3.936888542441148e-07,0.2142857142857142,0.3333333333333333,0.125,58.47142857142858,32.43333333333334,78.0,64.89047619047619,36.97777777777778,85.825,239.97619047619045,228.17777777777772,248.825,0.1285714285714285,0.1666666666666666,0.1,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.908,6.4999066171583975,14.63,126.36,13.87,482.0,0.414,0.8334259979249123,15.57,535.0,0.74507737159729,0.9111496390424936
2014-11-12 01:15:00,32,3.933466318550662e-07,0.3714285714285714,0.6666666666666666,0.15,58.642857142857146,32.76666666666667,78.05,65.06190476190477,37.31111111111112,85.875,240.14761904761903,228.51111111111112,248.87500000000003,0.1714285714285714,0.3333333333333333,0.05,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.91,6.5378785447,14.63,126.33,13.89,482.0,0.413,0.8301978106809467,15.57,535.0,0.755781888961792,0.912776484981706
2014-11-12 01:30:00,32,3.930046802977527e-07,1.742857142857143,3.866666666666667,0.15,60.01428571428572,35.96666666666667,78.05,66.43333333333334,40.51111111111111,85.875,241.5190476190476,231.7111111111111,248.87500000000003,1.3714285714285717,3.2000000000000006,0.0,5.500000000000001,4.1,0.0,0.0,0.0,0.0,0.0,0.916,6.652218169427202,14.63,126.322,13.89,484.0,0.414,0.8334259979249123,15.57,535.0,0.7195568978786469,0.9034826720319956
